title,year,duration,genre,rating
Goodfellas ,1990,2h 26min,Biography,Goodfellas 
The Matrix ,1999,2h 16min,Action,The Matrix 
"Il buono, il brutto, il cattivo ",1966,2h 41min,Western,"Il buono, il brutto, il cattivo "
Modern Times ,1936,1h 27min,Comedy,Modern Times 
Forrest Gump ,1994,2h 22min,Drama,Forrest Gump 
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,The Lord of the Rings: The Two Towers 
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,The Lord of the Rings: The Fellowship of the Ring 
Inception ,2010,2h 28min,Action,Inception 
Fight Club ,1999,2h 19min,Drama,Fight Club 
Schindler's List ,1993,3h 15min,Biography,Schindler's List 
The Lord of the Rings: The Return of the King ,2003,3h 21min,Adventure,The Lord of the Rings: The Return of the King 
The Dark Knight ,2008,2h 32min,Action,The Dark Knight 
The Godfather: Part II ,1974,3h 22min,Crime,The Godfather: Part II 
The Godfather ,1972,2h 55min,Crime,The Godfather 
12 Angry Men ,1957,1h 36min,Crime,12 Angry Men 
Pulp Fiction ,1994,2h 34min,Crime,Pulp Fiction 
