Title,Year,Duration,Genre,Rating,movie_url
Smultronstället ,1957,1h 31min,Drama,Smultronstället ,https://www.imdb.com/title/tt0050986/?ref_=adv_li_tt
Some Like It Hot ,1959,2h 1min,Comedy,Some Like It Hot ,https://www.imdb.com/title/tt0053291/?ref_=adv_li_tt
Judgment at Nuremberg ,1961,2h 59min,Drama,Judgment at Nuremberg ,https://www.imdb.com/title/tt0055031/?ref_=adv_li_tt
Yôjinbô ,1961,1h 50min,Action,Yôjinbô ,https://www.imdb.com/title/tt0055630/?ref_=adv_li_tt
Chinatown ,1974,2h 10min,Drama,Chinatown ,https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt
To Kill a Mockingbird ,1962,2h 9min,Crime,To Kill a Mockingbird ,https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt
The Great Escape ,1963,2h 52min,Adventure,The Great Escape ,https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt
Monty Python and the Holy Grail ,1975,1h 31min,Adventure,Monty Python and the Holy Grail ,https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt
Stalker ,1979,2h 42min,Drama,Stalker ,https://www.imdb.com/title/tt0079944/?ref_=adv_li_tt
Ran ,1985,2h 42min,Action,Ran ,https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt
Raging Bull ,1980,2h 9min,Biography,Raging Bull ,https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt
Pan's Labyrinth ,2006,1h 58min,Drama,Pan's Labyrinth ,https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt
There Will Be Blood ,2007,2h 38min,Drama,There Will Be Blood ,https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt
Chak De! India ,2007,2h 33min,Drama,Chak De! India ,https://www.imdb.com/title/tt0871510/?ref_=adv_li_tt
Up ,2009,1h 36min,Animation,Up ,https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt
The Wolf of Wall Street ,2013,3h,Biography,The Wolf of Wall Street ,https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt
Warrior ,2011,2h 20min,Drama,Warrior ,https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt
Mandariinid ,2013,1h 27min,Drama,Mandariinid ,https://www.imdb.com/title/tt2991224/?ref_=adv_li_tt
Gangs of Wasseypur ,2012,5h 21min,Action,Gangs of Wasseypur ,https://www.imdb.com/title/tt1954470/?ref_=adv_li_tt
Drishyam ,2015,2h 43min,Crime,Drishyam ,https://www.imdb.com/title/tt4430212/?ref_=adv_li_tt
Klaus ,2019,1h 36min,Animation,Klaus ,https://www.imdb.com/title/tt4729430/?ref_=adv_li_tt
El secreto de sus ojos ,2009,2h 9min,Drama,El secreto de sus ojos ,https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt
Green Book ,2018,2h 10min,Biography,Green Book ,https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,"Three Billboards Outside Ebbing, Missouri ",https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt
Metropolis ,1927,2h 33min,Drama,Metropolis ,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt
The Kid ,1921,1h 8min,Comedy,The Kid ,https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt
M - Eine Stadt sucht einen Mörder ,1931,1h 57min,Crime,M - Eine Stadt sucht einen Mörder ,https://www.imdb.com/title/tt0022100/?ref_=adv_li_tt
Double Indemnity ,1944,1h 47min,Crime,Double Indemnity ,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt
Ikiru ,1952,2h 23min,Drama,Ikiru ,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt
Ladri di biciclette ,1948,1h 29min,Drama,Ladri di biciclette ,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt
Citizen Kane ,1941,1h 59min,Drama,Citizen Kane ,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt
Singin' in the Rain ,1952,1h 43min,Comedy,Singin' in the Rain ,https://www.imdb.com/title/tt0045152/?ref_=adv_li_tt
